Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA
2015-02-18,3.079999924,111.2542953,116.3399963,31.94925499,20.57999611,0.530905902,13.63066673,3.140000105,111.4468523,116.5299988,31.9575639,20.74673146,0.537386264,13.74466705,3.059999943,110.4358917,114.9899979,31.25976412,19.67485788,0.529945868,13.50666714,3.109999895,110.5161319,115.9899979,31.40098396,20.15918546,0.536426172,13.61133289,7286100,755200,8336000,346200,3628200,170948000,40704000
2015-02-19,3.059999943,111.9363098,115.9400024,31.6668129,20.11948776,0.53234607,14.11400032,3.079999924,112.2652776,116.5400009,32.04063478,20.57999689,0.538586381,14.16266727,3.00999999,110.7327798,115.7399979,31.54220771,19.78601553,0.529945954,13.58333302,3.059999943,110.9975579,116.4000015,31.81634165,20.5641169,0.537626346,13.66666698,6573600,741900,6528700,236400,5299800,169432000,77311500
2015-02-20,3.059999943,114.1267395,115.2799988,31.50897598,20.15918732,0.536186039,14.47399998,3.130000114,114.3754671,116.4599991,31.66681047,20.22270577,0.536426034,14.50666714,3.019999981,111.5591991,115.0500031,31.01054895,19.82571507,0.528025662,13.9873333,3.029999971,111.7838693,116.0999985,31.66681047,20.16712731,0.531865857,14.05200005,10666700,1341200,6681700,173100,3259100,157752000,89731500
2015-02-23,3.059999943,113.3404083,115.4300003,31.21821976,20.11948776,0.531865895,13.82266712,3.099999905,113.9742742,116.2200012,31.55881222,20.19094621,0.535946084,14.5466671,3.029999971,112.9472631,115.0699997,31.09361144,19.78601553,0.529225729,13.75533295,3.049999952,113.7255467,115.1100006,31.50896826,20.13536775,0.535946084,14.37733269,6323500,747400,4812400,196300,2538800,125008000,127497000
2015-02-24,3.109999895,113.6774292,115.2600021,31.5255928,20.54823875,0.537527978,13.60733318,3.119999886,113.9823274,115.5500031,31.65019799,20.7784941,0.537527978,13.81933308,3.019999981,112.987417,114.2900009,31.24314995,20.10360958,0.529095259,13.44666672,3.059999943,113.0355562,115,31.2514557,20.11154957,0.533913972,13.81933308,10916300,764100,7612900,259600,3262500,149356000,99054000
2015-02-25,3.099999905,112.4417725,115.6999969,33.5774498,20.15124512,0.533432066,13.58399963,3.140000105,113.677391,115.8899994,34.56600123,20.57999575,0.537768943,13.80933285,3.059999943,112.313393,115.3300018,32.22338861,20.07978819,0.53102271,13.50533295,3.079999924,113.677391,115.8300018,32.74673601,20.54029729,0.535359529,13.66266727,6151300,735300,5032500,679500,2414500,123820000,58642500
2015-02-26,3.079999924,111.8720856,116.0699997,33.68545532,19.6669178,0.534877717,13.81266689,3.130000114,112.8429382,116.5500031,34.00943331,20.16712537,0.538009887,14.07266712,3.059999943,111.5270796,115.8300018,33.16210456,19.65103781,0.530540841,13.48133278,3.099999905,112.4899009,116.5400009,33.64392025,20.1433069,0.533913986,13.60000038,8680900,1059500,4025400,264800,4176900,152864000,97093500
2015-02-27,3.109999895,111.3506088,116.1600037,32.78827286,19.03967667,0.531504571,13.55599976,3.119999886,111.960393,117.0699997,33.76851534,20.52442279,0.534636741,13.90333271,3.069999933,111.3104887,116.1600037,32.7716582,18.75384435,0.529577052,13.52000046,3.069999933,111.5752668,116.7399979,33.68544206,20.4847228,0.533432034,13.79333305,7150200,1267800,8255600,426900,5528800,157492000,58231500
2015-03-02,3.210000038,112.1689835,115.6800003,32.90457916,18.57122803,0.544514954,13.15533257,3.230000019,112.8269067,116.6399994,33.32824187,19.03967726,0.547406204,13.55599976,3.109999895,111.3505797,115.6200027,32.61382739,18.42831111,0.529336006,13.05533314,3.130000114,111.3505797,116.5,32.79658546,19.03967726,0.530058819,13.51333332,15638100,1278200,7993300,275200,5423000,301512000,118831500
2015-03-03,3.140000105,109.9946289,115.4700012,32.74673462,19.16670799,0.534395695,13.3039999,3.230000019,111.6635255,116.6100006,33.09563604,19.29374488,0.543069388,13.34933281,3.130000114,109.4008952,115.3499985,32.31476626,18.57122202,0.532709151,13.02133274,3.200000048,111.6234054,116.0400009,32.39783636,18.58710201,0.540419114,13.12066746,8644000,1513400,4738300,287400,4761300,160344000,66484500
